x,R,T1,T2,T3,T4,T5,speed,env_T,env_hum,set_T1,set_T2,set_T3,set_T4,set_T5,piece,position,time,ok
0.572,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,1,1,2017/11/27 11:45,1
0.563,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,1,2,2017/11/27 11:45,1
0.569,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,1,3,2017/11/27 11:45,1
0.558,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,1,4,2017/11/27 11:45,1
0.564,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,1,5,2017/11/27 11:45,1
0.565,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,1,6,2017/11/27 11:45,1
0.556,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,2,1,2017/11/27 11:45,1
0.557,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,2,2,2017/11/27 11:45,1
0.559,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,2,6,2017/11/27 11:45,1
0.553,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,2,4,2017/11/27 11:45,1
0.558,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,2,5,2017/11/27 11:45,1
0.571,,580,736,722,621,488,32.34,29,13,750,735,722,621,500,2,6,2017/11/27 11:45,1
0.578,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,1,1,2017/11/27 12:02,0
0.569,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,1,2,2017/11/27 12:02,0
0.572,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,1,3,2017/11/27 12:02,0
0.557,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,1,4,2017/11/27 12:02,0
0.571,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,1,5,2017/11/27 12:02,0
0.574,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,1,6,2017/11/27 12:02,0
0.56,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,2,1,2017/11/27 12:02,0
0.565,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,2,2,2017/11/27 12:02,0
0.564,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,2,3,2017/11/27 12:02,0
0.554,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,2,4,2017/11/27 12:02,0
0.557,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,2,5,2017/11/27 12:02,0
0.579,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,2,6,2017/11/27 12:02,0
0.562,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,3,1,2017/11/27 12:02,0
0.592,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,3,2,2017/11/27 12:02,0
0.565,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,3,3,2017/11/27 12:02,0
0.565,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,3,4,2017/11/27 12:02,0
0.552,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,3,5,2017/11/27 12:02,0
0.59,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,3,6,2017/11/27 12:02,0
0.567,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,4,1,2017/11/27 12:02,0
0.582,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,4,2,2017/11/27 12:02,0
0.567,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,4,3,2017/11/27 12:02,0
0.554,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,4,4,2017/11/27 12:02,0
0.57,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,4,5,2017/11/27 12:02,0
0.568,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,4,6,2017/11/27 12:02,0
0.554,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,5,1,2017/11/27 12:02,0
0.575,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,5,2,2017/11/27 12:02,0
0.568,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,5,3,2017/11/27 12:02,0
0.556,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,5,4,2017/11/27 12:02,0
0.571,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,5,5,2017/11/27 12:02,0
0.572,,623,763,756,657,487,32.34,30,13,750,763,756,658,500,5,6,2017/11/27 12:02,0
0.57,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,1,1,2017/11/27 12:22,0
0.573,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,1,2,2017/11/27 12:22,0
0.571,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,1,3,2017/11/27 12:22,0
0.554,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,1,4,2017/11/27 12:22,0
0.569,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,1,5,2017/11/27 12:22,0
0.568,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,1,6,2017/11/27 12:22,0
0.559,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,2,1,2017/11/27 12:22,0
0.585,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,2,2,2017/11/27 12:22,0
0.565,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,2,3,2017/11/27 12:22,0
0.566,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,2,4,2017/11/27 12:22,0
0.553,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,2,5,2017/11/27 12:22,0
0.556,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,2,6,2017/11/27 12:22,0
0.558,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,3,1,2017/11/27 12:22,0
0.572,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,3,2,2017/11/27 12:22,0
0.573,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,3,3,2017/11/27 12:22,0
0.556,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,3,4,2017/11/27 12:22,0
0.557,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,3,5,2017/11/27 12:22,0
0.561,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,3,6,2017/11/27 12:22,0
0.558,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,4,1,2017/11/27 12:22,0
0.576,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,4,2,2017/11/27 12:22,0
0.576,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,4,3,2017/11/27 12:22,0
0.561,,623,735,722,704,494,32.34,30,13,750,735,722,709,500,4,4,2017/11/27 12:22,0
